product_id,product_name,product_type,year,week,banner,price_,week_year,mdlz_product
17,mills majones,330 gr (2 poser),2019,1,MENY,28.9,2019_1,False
17,mills majones,330 gr (2 poser),2019,1,OBS,28.2,2019_1,False
17,mills majones,330 gr (2 poser),2019,1,REMA,27.9,2019_1,False
17,mills majones,330 gr (2 poser),2019,1,SPAR,29.9,2019_1,False
17,mills majones,330 gr (2 poser),2019,1,EXTRA,26.9,2019_1,False
18,mills kaviar,185 gr,2019,1,KIWI,19.4,2019_1,False
18,mills kaviar,185 gr,2019,1,MENY,20.5,2019_1,False
18,mills kaviar,185 gr,2019,1,OBS,20.84,2019_1,False
18,mills kaviar,185 gr,2019,1,REMA,20.9,2019_1,False
18,mills kaviar,185 gr,2019,1,SPAR,20.9,2019_1,False
18,mills kaviar,185 gr,2019,1,EXTRA,20.4,2019_1,False
41,grandiosa original,575 gr,2019,1,KIWI,42.9,2019_1,False
41,grandiosa original,575 gr,2019,1,MENY,43.9,2019_1,False
41,grandiosa original,575 gr,2019,1,OBS,42.9,2019_1,False
41,grandiosa original,575 gr,2019,1,REMA,42.9,2019_1,False
41,grandiosa original,575 gr,2019,1,SPAR,46.9,2019_1,False
41,grandiosa original,575 gr,2019,1,EXTRA,42.9,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,KIWI,69.8,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,MENY,74.9,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,OBS,70.8,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,REMA,69.9,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,SPAR,74.9,2019_1,False
324,familiens fiskegrateng,1 kilo,2019,1,EXTRA,69.8,2019_1,False
46,nugatti original,500 gram,2019,1,KIWI,24.9,2019_1,False
46,nugatti original,500 gram,2019,1,MENY,26.9,2019_1,False
46,nugatti original,500 gram,2019,1,OBS,27.9,2019_1,False
46,nugatti original,500 gram,2019,1,REMA,21.9,2019_1,False
46,nugatti original,500 gram,2019,1,SPAR,26.9,2019_1,False
46,nugatti original,500 gram,2019,1,EXTRA,27.9,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,KIWI,25.9,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,MENY,27.9,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,OBS,26.7,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,REMA,25.9,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,SPAR,27.9,2019_1,False
84,bringebærsyltetøy nora,400 gr hjemmelaget,2019,1,EXTRA,25.9,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,KIWI,12.4,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,MENY,13.7,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,OBS,13.6,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,REMA,12.9,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,SPAR,13.5,2019_1,False
528,"tomatbønner, nora",400 gram,2019,1,EXTRA,12.4,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,KIWI,12.3,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,MENY,13.5,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,OBS,13.7,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,REMA,12.9,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,SPAR,13.5,2019_1,False
561,tomatpurre staveland,180 gr,2019,1,EXTRA,12.3,2019_1,False
111,tomatsuppe original,91 gr,2019,1,KIWI,16.4,2019_1,False
111,tomatsuppe original,91 gr,2019,1,MENY,17.7,2019_1,False
111,tomatsuppe original,91 gr,2019,1,OBS,16.4,2019_1,False
111,tomatsuppe original,91 gr,2019,1,REMA,16.9,2019_1,False
111,tomatsuppe original,91 gr,2019,1,SPAR,17.9,2019_1,False
111,tomatsuppe original,91 gr,2019,1,EXTRA,16.4,2019_1,False
366,freia vaniljesukker 175 gr,175 gram,2019,1,KIWI,22.9,2019_1,True
366,freia vaniljesukker 175 gr,175 gram,2019,1,MENY,24.9,2019_1,True
366,freia vaniljesukker 175 gr,175 gram,2019,1,OBS,24.6,2019_1,True
366,freia vaniljesukker 175 gr,175 gram,2019,1,REMA,23.9,2019_1,True
366,freia vaniljesukker 175 gr,175 gram,2019,1,SPAR,24.9,2019_1,True
366,freia vaniljesukker 175 gr,175 gram,2019,1,EXTRA,22.9,2019_1,True
112,vafler toro fam/pk,591 gr,2019,1,KIWI,22.9,2019_1,False
112,vafler toro fam/pk,591 gr,2019,1,MENY,24.9,2019_1,False
112,vafler toro fam/pk,591 gr,2019,1,OBS,23.8,2019_1,False
112,vafler toro fam/pk,591 gr,2019,1,REMA,22.9,2019_1,False
112,vafler toro fam/pk,591 gr,2019,1,SPAR,24.9,2019_1,False
112,vafler toro fam/pk,591 gr,2019,1,EXTRA,22.9,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,KIWI,24.6,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,MENY,26.9,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,OBS,24.6,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,REMA,28.9,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,SPAR,27.9,2019_1,False
130,pannekaker øko. toro,540 gr Familiepakning,2019,1,EXTRA,24.6,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,KIWI,15.2,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,MENY,10.0,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,OBS,15.2,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,REMA,15.2,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,SPAR,15.9,2019_1,False
270,"brun saus med løk, toro",47 gram,2019,1,EXTRA,15.2,2019_1,False
183,sopps snarkokt makaroni,650gr,2019,1,KIWI,18.4,2019_1,False
183,sopps snarkokt makaroni,650gr,2019,1,MENY,19.9,2019_1,False
183,sopps snarkokt makaroni,650gr,2019,1,OBS,17.9,2019_1,False
183,sopps snarkokt makaroni,650gr,2019,1,REMA,19.6,2019_1,False
