,product_id,product_name,product_type,price_KIWI,price_MENY,price_OBS,price_REMA 1000,price_SPAR,price_EXTRA,year,week
27,71,Potetgull Maarud Salt,240 gr Salt,21.9,29.9,29.0,21.9,29.9,27.9,2019,2
28,363,Godt&Blandet,220 gr,44.8,54.5,45.6,44.8,49.9,44.8,2019,2
29,209,Kvikk lunsj,47gr,14.9,10.0,14.9,14.9,16.5,14.9,2019,2
30,373,Hobby,48 gram,20.6,22.5,21.4,20.6,22.5,20.6,2019,2
31,334,Firkløver Freia,200 gr,36.2,39.9,36.2,36.2,41.9,36.2,2019,2
0,177,Kiwi,stk,3.9,6.3,4.0,3.9,2.9,3.9,2019,3
1,6,Agurk,1 stk,15.9,21.9,16.4,19.9,12.9,15.9,2019,3
2,7,Isbergsalat,1 stk,10.0,16.9,15.3,10.0,19.9,14.9,2019,3
3,374,Hodekål/Sommerkål,1 kg,17.9,22.9,18.4,19.9,18.9,17.9,2019,3
4,586,Woksaus Teriyaki,120 gram,16.9,18.7,17.5,17.2,19.5,16.9,2019,3
5,506,Kremost Krydder,125 gram,14.9,15.9,15.1,14.9,15.9,14.9,2019,3
6,509,Kremost Ananas og Mandarin,125 gram,16.9,17.9,16.9,16.9,18.5,16.9,2019,3
7,578,Gudbrandsdalsost skivet Tine,130 gr,19.9,10.0,20.6,19.9,21.5,19.9,2019,3
8,526,Jubelsalami,100 gr,32.9,35.5,34.2,32.9,34.9,32.9,2019,3
9,24,Kjøttdeig billigste type,400 gr,37.9,37.9,37.9,37.9,37.9,37.9,2019,3
10,412,Komle/raspeballer m vossak.,600 gr,69.9,79.9,64.9,69.9,75.9,69.6,2019,3
11,31,Kremfløte Tine,3 dl,15.6,17.9,15.9,15.9,18.9,15.9,2019,3
12,418,"Kulturmelk, Tine",1 liter,17.9,19.9,17.9,17.9,19.3,17.9,2019,3
13,522,Yoplait Yoghurt Vanilje,4 stk,22.4,23.9,23.1,22.4,23.9,22.4,2019,3
14,306,Delikat rekesalat,200 gram,26.9,28.9,26.9,26.9,28.9,26.9,2019,3
15,213,Fiskekaker,Billigste type 500 gr,16.47,19.0,19.05,16.54,16.79,16.47,2019,3
16,205,Egg billigste type,12 stk,27.9,26.6,33.07,27.9,20.0,33.07,2019,3
17,277,Bønner i Tomatsaus,420 gram,8.2,8.3,8.2,8.2,8.9,8.2,2019,3
18,224,Amerikansk gryte,188 gram,19.0,29.9,27.2,19.0,29.9,19.04,2019,3
19,112,Vafler Toro Fam/Pk,591 gr,22.9,24.9,23.3,22.9,24.9,22.9,2019,3
20,275,Hollandaisesaus,26 gram,30.9,33.9,31.5,30.9,33.5,30.9,2019,3
21,535,"Rømmedressing, Idun",470 gram,32.9,36.4,32.9,32.9,34.9,32.9,2019,3
22,99,Oboy,450 gr pose,13.7,21.9,13.7,13.7,21.9,13.7,2019,3
23,487,Oreo Double,157 gram,25.7,28.5,26.5,25.7,27.5,25.7,2019,3
24,569,Sætre Snackers,120 gr,19.7,21.5,20.4,19.7,21.5,19.7,2019,3
25,495,Vitaminbjørner Collet ny,60 stk,81.7,69.9,84.9,81.7,87.9,81.7,2019,3
26,309,Dobbeldusch Sport,250 ml,23.9,25.9,23.9,23.9,25.9,23.9,2019,3
27,447,OMO Color Refill,490 ml,27.9,28.9,27.9,27.9,29.9,27.9,2019,3
28,190,Lano Håndsåpe,300ml,15.9,16.9,15.9,15.9,16.9,15.9,2019,3
29,585,"Oppvasktabletter, eget merke",40 stk,27.9,29.9,27.9,27.9,29.9,27.9,2019,3
30,121,Lambi tørkerull,4 pk,37.4,39.9,38.0,37.4,39.9,37.4,2019,3
31,208,Troika,66 gr,13.3,15.9,13.8,13.3,14.9,14.5,2019,3
32,388,Japp Duo Freia,82 gr,20.2,21.9,20.2,20.2,21.9,20.2,2019,3
0,2,Bananer,1 kg løsvekt,22.9,26.9,14.9,22.9,24.9,22.9,2019,4
1,123,Paprika,1 kg løsvekt,44.4,49.9,45.7,44.4,47.9,44.4,2019,4
2,10,Champignon,1 kg,28.9,31.8,29.8,28.9,31.9,28.9,2019,4
3,9,Blomkål,1 stk,17.9,19.9,18.4,17.9,21.9,20.0,2019,4
4,175,Purreløk,kg,34.9,40.1,35.9,34.9,37.9,34.9,2019,4
5,507,Kremost Pepper,125 gram,15.9,16.9,16.5,15.9,16.9,15.9,2019,4
6,19,Norvegia,1 kg,98.9,105.0,100.6,98.9,89.9,98.9,2019,4
7,187,Gilde skinnfri kjøttpølse,450gr,29.9,32.9,30.23,29.9,32.9,29.9,2019,4
8,32,Lettrømme Tine,3 dl,14.9,15.9,14.9,14.9,16.5,14.9,2019,4
9,28,Lettmelk Tine,1 liter,17.3,18.5,10.0,17.3,18.7,17.3,2019,4
10,199,Tine Sjokomelk,1 lit,24.9,27.9,24.9,24.9,27.9,24.9,2019,4
11,96,Biola Blåbær,1 liter,30.9,24.9,24.9,30.9,32.9,30.9,2019,4
12,185,Tine Yoghurt Jordbær 4pk,4x150gr,15.0,17.9,16.8,15.0,17.5,16.2,2019,4
13,217,Go Morgen Vanilje m/nøttemix,195 gr,12.9,14.9,12.9,12.9,13.9,12.9,2019,4
14,35,Tine Meierismør,1/2 kilo,31.9,37.5,32.5,31.9,36.9,31.9,2019,4
15,44,Laks,4 pakning pris per 500 gr,48.6,48.6,55.9,48.6,48.9,48.6,2019,4
16,47,Makrell i tomat,Stabburet,15.9,16.9,16.1,15.9,16.9,15.9,2019,4
17,170,Leverpostei 6 stk,6x22gr,28.4,30.9,29.5,28.4,19.9,28.4,2019,4
18,148,Lofoten Fiskesuppe,69 gram,13.9,21.4,19.9,13.9,21.5,19.9,2019,4
19,210,Kremet Blomkålsuppe,Pose,14.1,22.5,20.2,14.1,21.9,20.2,2019,4
20,109,Bali kyllinggryte,91 gr,18.8,28.9,26.9,18.8,28.9,26.9,2019,4
21,130,Pannekaker Øko. Toro,540 gr Familiepakning,22.6,26.5,22.6,22.6,26.5,22.6,2019,4
22,144,Toro Brownies,530 gram,26.9,28.9,27.4,26.9,28.9,26.9,2019,4
23,395,"Jordbærgele, Freia",125 gram,17.9,19.5,17.9,17.9,19.5,17.9,2019,4
24,139,Piano Jordbærgele,10 dl,22.9,25.5,22.9,22.9,24.9,22.9,2019,4
25,86,Piano vaniljesaus,1 liter,36.9,39.9,36.9,36.9,39.9,36.9,2019,4
26,100,Smacks Honnikorn,375 gr,30.9,33.9,32.0,30.9,33.9,30.9,2019,4
27,182,Ballerina kjeks Nougat,205 gr,15.6,23.9,22.3,15.6,23.9,15.61,2019,4
28,254,Bixit Sjokolade,200 gram,11.4,17.9,16.4,11.4,17.9,11.48,2019,4
29,74,Pepsi Max,"1,5 liter",29.9,34.9,29.9,29.9,35.9,29.9,2019,4
30,136,Potetgull Maarud Paprika,250 gram,27.9,29.9,27.9,27.9,29.9,27.9,2019,4
31,119,Saltstenger Soletti,250 gram,22.4,24.5,22.8,22.4,23.9,22.4,2019,4
32,138,Smil Sjokolade,78 gram,15.3,16.5,15.3,15.3,16.5,15.3,2019,4
33,334,Firkløver Freia,200 gr,36.2,39.9,36.2,36.2,39.9,36.2,2019,4
0,10,Champignon,1 kg,39.8,43.8,41.0,39.8,41.9,39.8,2019,5
1,7,Isbergsalat,1 stk,10.0,24.9,20.5,10.0,23.9,10.0,2019,5
2,374,Hodekål/Sommerkål,1 kg,14.8,16.9,18.4,14.5,19.9,17.9,2019,5
3,329,Fenalår Stranda,100 gram,53.4,59.9,53.4,53.4,57.9,53.4,2019,5
4,385,Iskaffe a la Mocca,330 ml,17.9,20.3,18.2,17.9,19.9,17.9,2019,5
5,426,Litago Melk Jordbær,5 dl,16.9,18.9,16.9,16.9,18.2,16.9,2019,5
6,427,"Litago Sjokolademelk 0,5L",5 dl,16.9,18.3,16.9,16.9,17.9,16.9,2019,5
